"id","item_1","item_2","item_3","item_4","item_5","item_6","item_7","item_8","item_9","item_10","item_11","item_12","item_13","item_14","item_15","item_16","item_17","item_18","item_19","item_20","item_21","item_22","item_23","item_24","item_25","item_26","item_27","item_28","item_29","item_30","item_31","item_32","item_33","item_34","item_35","item_36","item_37","item_38","item_39","item_40","item_41","item_42","item_43","item_44","item_45","item_46","item_47","item_48","item_49","item_50","item_51","item_52","item_53","item_54","item_55","item_56","item_57","item_58","item_59","item_60","item_61","item_62","item_63","item_64","item_65","item_66","item_67","item_68","item_69","item_70","item_71","item_72","item_73","item_74","item_75","item_76","item_77","item_78","item_79","item_80","item_81","item_82","item_83","item_84","item_85","item_86","item_87","item_88","item_89","item_90","item_91","item_92","item_93","item_94","item_95","item_96","item_97","item_98","item_99","item_100"
"R011",4,4,5,4,4,2,2,5,5,5,1,4,5,4,3,2,2,3,4,3,1,4,5,2,3,1,4,5,3,5,1,5,5,4,5,2,3,5,3,4,1,5,4,5,4,1,1,4,2,5,1,4,5,1,4,3,5,5,3,4,1,4,5,4,5,1,3,5,5,5,1,4,5,5,5,2,3,5,5,4,1,3,4,1,4,2,5,5,5,5,1,4,5,3,4,1,3,5,3,4
"R012",5,5,4,4,5,3,3,4,3,5,4,4,3,5,4,4,5,3,4,4,4,4,3,1,4,2,4,3,4,4,2,4,4,4,4,2,4,5,4,4,1,5,4,4,4,4,5,4,3,4,4,4,2,2,2,3,4,3,4,4,1,5,4,4,4,3,4,4,3,4,2,4,4,5,4,2,4,4,5,4,4,4,2,4,3,2,3,3,4,3,2,4,2,4,4,1,4,4,4,4
"R013",4,5,5,5,3,1,4,4,3,3,1,2,5,4,5,4,4,4,5,3,4,3,4,2,1,3,4,3,4,2,2,5,4,3,4,1,2,5,5,2,1,2,5,5,4,5,4,5,5,4,5,3,2,3,2,4,5,2,5,4,2,4,5,4,3,1,5,4,1,3,1,4,4,5,1,3,2,4,5,2,4,4,4,4,1,3,4,4,5,4,2,5,5,4,4,1,5,4,2,4
"R014",2,1,4,4,2,4,4,4,4,4,5,1,4,2,5,5,2,4,5,2,4,4,4,4,1,2,2,3,4,2,3,1,4,4,3,4,2,5,4,1,5,1,4,2,4,5,2,4,5,2,4,2,2,4,2,4,2,4,4,4,4,1,5,5,2,3,2,3,5,2,4,1,4,4,2,5,1,4,5,2,4,4,2,4,1,4,4,2,4,2,2,1,4,4,1,2,1,5,5,2
"R015",4,5,4,4,4,2,5,3,4,3,1,5,2,4,3,1,4,5,3,4,3,5,1,1,1,1,3,3,3,4,1,5,3,4,4,4,3,5,1,3,1,2,4,3,5,4,4,5,5,3,4,5,3,4,2,1,5,2,2,4,1,5,2,1,3,1,3,4,2,2,1,3,3,4,4,1,4,4,5,3,2,5,3,3,2,1,1,3,4,1,1,4,1,3,4,1,5,4,3,3
"R016",4,4,2,2,5,2,5,3,5,5,3,4,4,4,5,1,5,2,1,5,5,4,5,1,5,1,3,4,5,5,5,4,4,2,3,3,4,5,5,5,1,4,5,3,5,5,5,4,3,5,5,4,5,1,5,4,5,2,5,4,1,5,4,1,5,2,5,4,3,5,2,5,5,5,5,3,5,2,3,5,2,4,5,1,5,1,4,2,1,5,4,4,2,1,5,2,3,5,5,5
"R017",4,4,5,4,4,2,2,5,5,2,2,3,4,5,4,3,4,5,5,4,1,4,4,4,2,2,5,5,5,4,2,5,4,4,4,4,2,5,2,3,1,4,5,5,5,4,5,5,2,4,2,4,4,4,3,2,4,5,5,5,2,5,4,4,4,2,3,5,2,3,2,4,5,4,2,2,5,4,4,4,2,3,5,2,2,1,5,5,4,2,2,4,5,4,4,1,4,4,3,2
"R018",4,5,5,2,2,1,3,5,4,3,3,4,4,5,4,1,4,5,3,5,4,5,5,2,2,2,4,2,4,4,4,4,3,4,4,1,4,4,2,2,2,5,4,4,4,2,4,4,4,3,1,4,4,2,2,1,5,4,4,4,2,5,4,2,3,1,4,5,2,2,2,5,2,4,2,2,4,5,4,4,2,4,5,1,2,2,4,3,3,2,2,5,2,2,4,2,4,4,4,3
"R019",5,3,5,3,4,4,2,5,4,2,4,2,5,4,3,3,3,5,4,2,5,5,4,4,2,4,4,3,3,4,3,4,5,4,4,3,1,4,3,3,2,2,5,4,4,5,3,5,5,3,2,3,4,3,2,4,4,2,4,5,2,3,5,3,3,4,4,5,4,4,4,3,3,4,4,3,2,4,4,2,3,3,3,2,4,2,4,2,5,1,4,4,5,4,2,2,3,4,4,1
"R020",5,5,5,4,4,3,4,3,2,4,3,3,4,4,3,2,4,3,3,3,5,4,4,3,4,3,5,2,3,3,3,4,5,3,3,2,4,5,2,4,3,3,4,4,3,5,4,5,3,5,4,4,2,4,3,3,5,3,4,3,3,5,4,3,3,3,4,4,3,5,4,3,3,4,3,2,3,4,4,3,4,4,1,3,4,3,5,3,3,3,4,2,4,3,4,2,4,3,3,3
"R021",4,2,5,2,4,3,1,5,5,3,4,2,5,3,4,3,4,3,4,3,2,4,1,4,3,2,2,2,3,4,4,2,5,2,4,4,1,4,4,3,2,1,4,4,4,3,4,4,3,4,2,3,3,5,4,3,2,1,4,3,2,2,5,2,4,3,1,4,5,2,4,3,1,3,5,4,5,5,4,4,1,4,4,1,3,2,2,2,4,4,4,2,5,4,4,2,1,4,5,3
"R022",4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,5,4,4,4,4,5,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,5,4,3,5,4,4,3,4,4,1,4,3,4,4,5,3,4,5,5,4,4,4,5,4,3,3,4,4,5,5,4,4,3,4,4,4,3,3,3,4,2,3,4,3,4,3,4,4,5,3,3,3,4,5,3,3
"R023",4,4,2,5,5,2,3,2,3,5,3,4,3,4,5,2,5,2,4,4,1,3,3,2,1,2,4,1,3,5,3,4,1,4,4,1,3,3,5,5,1,4,4,4,5,2,4,4,4,5,1,2,4,2,4,2,3,1,4,5,1,5,4,4,4,1,3,4,3,3,2,3,3,5,5,1,5,4,4,4,1,4,3,4,4,1,2,1,4,5,2,5,4,4,4,1,2,4,5,5
"R024",4,5,5,5,5,4,3,5,4,5,1,5,5,5,5,3,4,3,4,5,3,5,5,3,4,2,5,3,4,5,3,5,4,3,5,3,2,5,5,4,3,5,5,4,5,3,4,5,3,5,4,5,3,3,5,3,5,3,4,5,1,4,3,4,5,4,5,5,4,4,1,4,5,5,5,2,5,5,5,5,1,5,5,3,4,1,4,1,5,4,3,4,3,3,4,1,5,5,5,4
"R025",5,1,5,4,4,4,3,5,4,2,4,5,4,5,2,2,4,5,4,2,5,5,4,5,1,4,4,5,5,4,4,2,5,5,4,4,2,4,4,4,4,5,5,5,5,5,5,5,4,5,4,5,5,5,2,4,2,2,5,2,4,2,5,5,2,4,4,5,2,4,4,4,5,5,5,5,4,4,4,2,4,5,3,2,2,4,5,4,4,4,4,2,5,5,2,2,4,5,2,2
"R026",4,5,5,4,4,3,5,5,5,5,4,5,5,5,2,2,2,4,2,2,3,5,3,1,4,2,4,3,4,2,2,5,5,4,5,3,4,5,2,5,2,4,2,1,3,4,4,5,4,4,4,5,5,2,2,2,5,5,4,2,2,4,5,5,4,1,5,4,3,4,1,4,3,4,2,2,4,5,4,4,2,5,4,3,4,1,5,2,4,4,2,4,4,4,4,1,4,4,4,4
"R027",2,3,4,4,5,1,4,5,5,3,1,4,2,4,5,3,2,3,4,5,3,4,4,4,2,1,4,1,4,4,1,4,3,4,5,2,3,5,5,2,2,4,5,5,5,4,3,4,2,5,2,4,2,4,5,2,4,4,5,5,2,4,3,4,4,1,4,5,3,4,1,4,4,5,5,4,3,4,4,4,2,4,4,4,4,1,4,2,4,5,1,5,3,4,5,1,4,4,5,3
"R028",5,3,5,4,3,3,2,5,5,4,5,4,5,4,3,3,2,5,5,3,2,4,4,3,3,1,4,4,4,3,2,3,5,3,3,4,4,5,3,4,1,3,5,5,4,5,2,5,2,4,3,4,4,3,3,2,4,2,5,4,2,2,5,4,4,2,3,5,5,2,4,2,4,4,1,3,2,5,4,3,4,4,5,2,2,5,5,4,5,4,4,4,5,3,2,2,3,4,5,3
"R029",4,4,2,4,4,1,4,3,2,4,1,4,5,4,4,2,4,3,3,4,3,5,3,4,3,2,4,2,3,4,5,4,2,3,4,2,3,4,4,3,2,4,4,4,4,4,3,4,5,5,3,4,3,4,3,3,4,2,4,3,4,4,2,3,4,2,5,3,5,4,1,2,4,5,3,4,3,4,5,3,3,4,2,4,3,2,4,3,4,4,2,4,1,3,4,1,4,3,4,4
"R030",4,5,4,4,4,5,4,5,4,4,3,5,5,5,4,2,4,5,5,5,4,4,2,4,2,4,3,2,5,4,3,5,5,5,4,5,5,4,2,4,1,5,4,4,4,4,4,5,2,4,4,3,4,2,4,3,4,2,5,5,2,5,4,2,3,4,5,4,5,4,3,4,5,5,5,1,4,3,2,4,3,4,2,5,4,2,5,1,5,4,5,5,4,4,5,3,3,5,4,4
"R031",3,2,5,4,2,3,2,5,2,2,5,3,4,3,2,4,2,4,4,3,3,4,4,2,1,1,3,5,4,3,2,3,4,4,3,3,4,5,2,1,2,3,4,4,2,4,3,5,5,2,5,4,5,5,3,3,4,5,4,4,2,3,3,3,3,4,4,4,3,5,5,4,4,3,2,3,3,5,4,2,4,4,4,1,2,4,2,4,5,3,3,4,4,2,3,3,2,3,4,2
"R032",4,3,4,2,5,4,4,2,2,4,2,3,2,2,4,2,3,3,2,3,2,4,2,5,2,1,2,2,1,5,4,2,2,3,4,4,4,4,4,3,1,3,4,5,5,5,4,5,4,4,4,3,1,3,4,2,3,5,3,4,2,3,3,3,4,2,3,4,2,3,2,4,2,2,5,4,2,5,5,2,2,4,4,2,3,2,1,1,3,4,4,4,2,4,4,2,1,2,3,4
"R033",4,5,4,4,3,2,3,3,5,4,1,3,4,3,4,2,3,4,4,4,3,4,5,2,2,1,3,3,3,3,2,3,3,2,4,3,3,5,3,4,1,3,3,3,4,3,3,4,2,4,5,3,4,2,3,3,5,1,5,3,2,4,4,3,3,3,2,4,4,3,1,4,3,3,2,3,3,4,4,3,2,4,4,3,2,1,4,1,3,2,2,4,3,2,4,1,3,5,5,3
"R034",3,2,5,5,4,3,1,4,4,1,3,3,2,4,3,2,3,3,2,3,4,4,2,4,2,2,3,4,4,3,3,1,3,3,3,4,1,5,4,1,1,3,3,3,5,3,2,4,4,2,3,3,2,3,2,3,4,4,4,4,2,2,5,4,3,2,2,3,4,3,2,4,3,4,2,4,3,5,4,3,3,2,2,4,1,3,4,3,4,4,3,3,5,4,3,1,2,2,3,3
"R035",5,4,4,5,4,4,1,5,5,5,5,5,5,5,5,2,4,1,2,5,2,4,4,2,4,4,1,4,4,4,4,5,4,4,4,4,2,5,5,4,4,4,5,5,5,5,4,5,5,4,2,2,4,2,4,4,1,4,4,5,2,4,4,4,4,2,1,3,2,4,4,3,3,4,4,2,1,2,5,4,2,2,5,4,4,2,1,3,4,4,5,2,4,5,4,3,2,5,3,5
"R036",4,3,5,4,4,3,3,4,5,4,2,4,4,4,4,3,3,4,3,4,1,5,3,3,3,2,4,3,1,3,3,4,4,4,5,3,4,5,4,3,1,3,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,3,4,3,3,3,4,4,3,4,5,4,2,3,2,5,3,4,3,4,3,5,5,4,4,4,3,5,4,3,4,3,4,4,3,3,3,4,4,2,3,3,4,1
"R037",4,3,4,2,4,4,4,4,3,5,3,4,4,3,4,2,4,3,3,2,4,4,5,2,3,3,2,1,1,4,3,2,3,4,4,4,5,5,4,4,2,4,3,3,3,3,3,4,2,5,4,3,5,2,4,4,4,1,3,1,2,4,4,2,3,4,4,4,2,4,3,4,3,3,5,4,3,4,2,3,4,4,4,2,2,3,3,1,2,4,4,4,5,4,4,2,4,2,2,4
"R038",3,4,5,2,5,5,5,3,1,1,3,4,3,5,1,1,3,5,1,4,5,5,4,4,2,2,3,1,3,3,2,5,5,2,5,4,5,5,1,1,2,3,1,1,4,1,4,5,2,3,5,5,1,3,1,1,5,4,3,3,1,3,5,2,2,1,1,1,1,1,1,5,3,1,1,1,3,5,2,5,2,5,5,2,4,4,4,1,2,5,3,3,5,2,5,3,2,2,5,1
"R039",4,2,3,3,5,3,2,4,5,4,3,3,4,3,4,2,3,3,4,5,4,3,3,4,4,3,2,4,2,3,2,1,2,3,4,4,2,4,4,4,3,3,4,4,5,5,3,4,5,4,4,3,4,2,4,3,3,3,1,4,4,2,4,3,3,2,4,4,5,4,3,2,2,2,5,4,3,5,4,3,2,3,2,4,4,3,2,1,2,4,3,3,4,3,4,2,3,3,2,4
"R040",3,5,4,2,4,3,3,5,5,3,2,4,5,4,5,2,4,5,5,4,3,5,5,2,3,2,4,5,5,3,4,5,5,4,4,3,2,5,4,4,1,4,5,4,5,3,4,5,4,4,2,5,4,1,3,4,5,3,5,4,2,4,5,3,4,3,4,5,3,3,2,4,4,5,5,2,3,5,4,4,2,4,4,2,3,3,5,3,5,3,4,4,5,4,4,2,4,5,4,4
"R041",5,1,5,1,2,4,1,5,4,3,5,1,4,3,2,1,2,4,2,1,4,3,2,5,1,5,2,3,4,5,5,1,4,2,3,1,1,5,2,1,5,1,4,4,4,1,1,5,5,3,5,2,1,5,1,5,1,3,4,2,4,1,5,1,2,3,1,4,5,5,5,1,1,5,1,5,1,4,5,1,5,2,1,4,1,5,1,4,4,1,5,1,5,2,1,3,1,2,5,3
"R042",2,2,4,4,5,3,1,5,1,4,4,3,2,5,4,3,2,3,4,3,1,4,5,2,4,1,3,1,5,4,2,5,3,3,4,2,1,5,4,5,1,3,4,4,4,4,2,5,3,4,2,3,4,1,4,2,5,1,4,4,1,4,5,2,4,1,5,5,2,4,2,3,2,4,3,2,4,5,4,3,1,3,3,1,4,1,5,1,3,3,2,4,5,1,5,1,2,4,5,3
"R043",5,4,2,4,5,4,5,5,4,5,3,4,5,4,4,3,5,4,4,5,2,5,1,1,4,4,4,3,2,3,4,5,2,4,4,3,4,5,3,5,4,4,3,2,4,5,5,4,4,4,4,2,3,4,3,2,4,3,2,1,5,4,3,4,4,4,4,4,1,4,3,2,2,3,5,2,4,4,4,4,5,5,4,2,5,3,3,4,2,4,4,4,2,4,2,3,4,5,3,4
"R044",4,2,2,4,5,2,1,3,3,4,2,5,4,4,5,4,5,3,4,5,5,3,5,3,1,2,2,4,3,5,2,4,2,4,5,4,2,4,5,3,3,4,4,5,5,5,5,5,3,5,3,4,3,2,4,4,4,2,4,4,3,3,3,4,4,3,4,2,3,4,2,3,2,5,5,4,5,5,5,4,2,2,5,4,5,3,1,2,4,4,4,3,4,3,3,1,2,4,4,4
"R045",4,3,3,3,5,3,3,5,5,5,3,4,3,5,5,4,2,3,3,2,4,5,3,5,2,3,4,4,4,5,5,4,5,3,5,4,3,5,4,3,4,3,5,4,5,4,3,5,4,5,3,5,2,3,4,3,5,5,5,4,4,4,3,3,3,2,5,4,3,3,4,3,4,5,5,3,3,4,4,5,3,5,3,4,2,2,3,2,5,2,4,3,3,3,3,2,3,4,3,4
"R046",3,5,4,3,4,2,4,3,5,4,2,4,5,5,5,1,3,4,4,3,4,5,3,4,2,1,3,4,3,5,3,3,2,4,4,3,4,5,4,3,1,3,4,4,4,3,3,5,4,4,4,3,3,3,3,2,5,4,3,3,2,5,4,4,4,2,5,3,5,4,1,4,4,4,5,2,3,4,5,3,2,4,3,5,4,1,4,3,5,3,2,5,4,4,4,1,4,4,5,3
"R047",4,5,5,4,4,2,2,5,4,2,3,5,5,5,4,2,5,4,3,4,3,4,4,2,1,1,4,3,3,3,4,5,5,4,5,3,4,5,4,2,3,5,5,5,4,5,5,5,4,4,3,5,4,2,3,3,4,4,5,5,1,5,5,4,4,2,4,5,2,5,3,5,5,5,3,2,4,5,5,4,4,5,5,1,2,2,1,3,5,2,4,5,4,5,4,2,4,4,5,2
"R048",4,4,4,4,4,1,1,3,5,4,1,4,3,4,5,4,5,4,4,4,2,4,4,2,2,2,4,1,2,4,2,4,3,4,4,2,1,5,5,3,1,4,4,4,5,4,5,5,4,5,5,4,4,4,4,1,5,5,2,4,2,4,3,4,4,2,4,5,5,3,1,4,4,5,2,3,5,5,5,5,2,4,5,4,3,1,3,2,4,4,2,4,4,2,4,1,5,3,5,2
"R049",4,2,5,4,2,2,2,5,3,2,3,2,4,4,1,3,2,5,2,1,3,3,4,3,1,2,3,5,5,2,4,2,5,4,4,2,2,4,1,1,2,3,5,4,3,4,2,5,2,2,4,5,5,3,2,4,3,1,4,3,2,2,5,4,4,2,3,5,4,2,3,2,4,5,1,4,2,5,3,2,4,3,5,1,1,3,4,5,3,1,3,2,5,4,4,3,3,3,5,1
"R050",5,2,4,3,3,5,3,4,5,5,5,4,5,2,5,3,2,3,3,5,4,4,4,4,3,4,2,1,2,1,5,1,3,2,3,5,1,5,4,4,4,1,3,2,3,4,3,5,3,4,4,4,2,5,5,3,4,2,4,3,4,2,4,4,2,4,3,3,4,5,4,1,3,3,4,5,3,3,4,1,3,4,4,5,4,4,2,3,5,3,4,1,3,4,2,4,1,1,5,3
"R051",4,4,5,4,4,4,2,5,5,4,3,4,4,4,4,4,3,3,4,2,2,2,4,2,2,3,4,4,4,4,4,4,4,2,5,5,5,5,4,4,2,4,4,5,4,4,4,5,4,4,5,4,5,2,4,4,3,5,5,2,2,4,5,4,4,4,3,5,4,5,2,5,4,4,4,4,5,5,5,3,3,3,5,2,2,3,4,4,5,5,4,4,5,4,4,2,2,5,4,2
"R052",5,1,5,1,4,5,1,4,5,4,1,2,5,3,4,1,3,2,2,3,4,2,2,5,2,5,1,3,4,3,5,2,4,2,4,4,1,5,2,4,5,2,4,4,4,5,3,4,5,4,4,1,2,5,2,5,2,2,3,2,5,1,5,2,2,5,1,4,5,4,5,2,5,5,4,5,4,4,5,3,4,1,4,4,2,4,2,2,4,3,5,2,5,1,2,5,1,2,5,4
"R053",3,4,4,2,4,4,3,5,4,2,2,4,4,3,2,1,3,4,2,2,2,5,2,3,5,3,3,4,5,4,4,3,2,2,5,4,2,4,4,2,2,4,4,5,4,3,3,4,3,5,4,5,3,5,2,3,4,2,4,3,2,4,3,1,4,4,5,5,2,5,1,4,4,4,5,3,4,4,3,4,4,4,4,5,2,2,3,1,3,2,1,4,4,2,5,1,5,5,2,2
"R054",1,1,4,1,5,3,1,5,2,2,4,4,1,1,1,1,2,4,2,4,2,2,5,4,1,1,1,4,1,5,1,1,3,1,5,3,1,3,1,1,4,1,1,1,4,3,1,1,2,5,2,2,5,5,3,2,2,5,1,2,1,1,4,1,4,2,1,3,4,5,4,5,2,1,3,5,4,5,1,2,1,2,5,1,1,1,3,2,1,1,1,3,5,1,5,2,1,1,2,1
"R055",5,1,5,1,3,4,1,1,1,3,4,3,3,2,2,4,1,5,4,2,5,5,3,3,1,4,1,1,1,3,5,2,5,2,3,5,1,5,1,3,4,2,3,2,3,5,3,4,5,3,5,5,3,4,4,5,3,2,4,1,4,2,5,1,2,5,2,4,5,4,4,4,1,1,1,5,3,5,4,4,5,5,5,1,1,5,4,5,3,5,5,2,5,1,4,4,2,1,3,3
"R056",4,2,5,5,5,1,1,5,2,3,3,2,5,5,5,2,2,1,4,5,2,4,5,5,1,1,2,5,5,5,2,2,5,5,4,2,1,5,4,1,3,3,4,4,5,5,1,5,3,3,1,3,5,2,5,1,4,2,5,5,2,5,5,5,4,1,5,1,5,1,2,4,5,5,2,5,2,5,5,4,1,4,5,5,1,2,1,3,5,5,2,5,5,5,5,1,5,3,5,3
"R057",4,3,4,3,4,3,1,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,4,3,4,3,4,4,3,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,2,4,2,4,2,5,4,2,4,2,2,4,4,4,2,5,4,2,4,5,4,4,5,2,4,5,5,4,5,4,4,4,4,4,2,4,5,4,4,2,2,3,4,1,4,4,5,4
"R058",4,4,5,3,4,4,4,5,2,3,4,4,4,4,2,1,3,5,3,2,3,4,4,1,2,2,3,3,3,4,3,4,5,4,5,3,4,5,2,3,2,3,4,4,3,2,4,3,2,4,2,2,5,2,4,2,4,5,2,3,1,4,4,3,4,3,3,5,2,3,3,5,3,2,4,1,2,5,4,3,4,4,5,1,3,1,4,3,3,2,2,4,5,2,4,2,4,1,4,2
"R059",3,3,5,3,4,3,1,5,5,4,3,2,4,3,5,2,4,4,3,3,2,3,2,2,1,1,3,1,5,4,3,2,4,4,4,3,2,5,5,3,1,2,5,4,5,4,2,4,2,4,4,3,4,3,2,3,4,1,5,2,2,3,4,3,4,2,4,4,5,2,1,4,5,4,4,3,3,4,5,2,5,3,5,4,2,1,4,2,5,3,2,2,4,3,3,2,3,4,5,3
"R060",3,4,2,4,4,2,3,5,5,5,4,3,4,4,4,3,2,3,3,3,5,3,2,2,3,2,4,5,4,3,2,4,3,4,4,3,3,5,4,4,2,3,4,4,4,2,4,5,3,4,4,3,3,1,3,3,4,2,5,5,2,4,3,4,4,2,5,4,2,5,3,4,4,4,4,2,3,4,3,4,5,3,5,1,3,2,4,2,3,2,4,4,3,4,3,2,4,5,4,4
"R061",4,3,5,4,4,1,3,3,4,2,2,2,4,4,5,2,2,3,4,3,2,4,4,2,1,3,4,5,3,4,2,4,5,4,4,2,2,4,4,2,2,1,4,4,5,4,2,5,2,4,3,2,4,3,5,4,4,3,3,4,1,4,5,4,4,2,5,4,5,2,2,2,2,4,4,2,3,4,5,4,3,2,5,4,4,2,4,2,2,3,3,4,4,3,3,1,4,4,4,2
"R062",4,4,5,1,5,2,4,5,5,4,2,4,2,5,5,1,4,4,5,5,4,5,2,2,2,3,4,3,4,4,4,4,3,4,5,2,3,5,4,3,1,4,4,4,4,4,4,5,4,5,2,5,3,2,4,4,5,2,4,5,3,4,4,2,4,2,4,5,4,4,1,4,4,5,5,2,4,5,4,4,1,4,4,1,4,2,4,2,4,5,4,4,4,4,5,1,4,5,5,4
"R063",3,2,4,5,5,3,4,4,5,5,3,3,4,5,5,4,2,4,2,2,1,5,5,4,2,2,4,4,4,3,1,4,3,4,4,4,2,3,4,4,3,2,4,4,4,4,3,5,5,5,4,4,4,5,3,3,4,5,3,2,3,3,5,4,4,3,5,5,3,4,3,4,3,4,5,5,3,4,5,3,3,4,3,5,2,3,3,1,5,4,3,3,4,5,3,3,3,4,4,2
"R064",4,2,5,2,5,4,2,4,5,5,4,5,4,4,5,2,4,2,4,4,4,5,5,2,5,2,2,1,4,4,4,2,4,2,4,4,4,5,5,4,2,4,5,5,5,4,4,5,1,5,4,5,5,2,4,4,4,1,5,2,2,2,4,1,4,4,4,2,5,4,4,4,4,4,5,4,2,4,1,4,5,5,5,4,2,2,4,1,5,4,4,2,5,1,4,2,1,4,2,5
