dataset,rc,synonyms,antonyms,even_odd,rpr,person_total,d2,longstring,irv,response_time
Study1_induced,-0.29503,-0.47445,-0.64523,-0.83221,-0.46387,-0.54669,-0.45635,-0.67449,-0.78628,NA
Study1_induced,-0.09137,-0.26906,-0.52365,-0.49610,-0.48529,-0.48560,0.61549,-1.34898,0.82760,NA
Study1_induced,1.43072,-0.04524,-0.42338,0.44464,0.51066,0.43672,0.23899,-1.34898,0.63066,NA
Study1_induced,0.29677,-0.14777,0.14780,0.22674,-0.02283,0.80554,0.96444,0.00000,0.39175,NA
Study1_induced,1.12988,-0.15707,0.14987,0.52567,0.17338,0.91421,-0.47145,0.00000,-0.70780,NA
Study1_induced,0.96420,-0.06932,-0.02513,-0.18515,-0.37089,-0.36517,-1.32167,-0.67449,-1.43648,NA
Study1_induced,-0.46894,-0.23687,-0.22555,-0.50244,-0.56448,-1.20870,0.11004,-1.34898,0.07002,NA
Study1_induced,-0.96987,-0.71879,-0.74417,-0.68337,-0.63927,-0.77592,1.21425,0.00000,1.29238,NA
Study1_induced,-0.22128,-0.39950,-0.72925,-0.44428,-0.38439,-0.29377,-0.19870,0.00000,0.00000,NA
Study1_induced,-0.38596,-0.47197,-0.82483,-0.58868,-0.67599,-0.99575,0.59138,-1.34898,0.94773,NA
Study1_induced,-0.76282,-0.37425,-0.78468,-0.75323,-0.41332,-0.53345,1.03742,0.67449,0.97815,NA
Study1_induced,0.81710,-0.13007,-0.09479,0.27007,0.03067,1.11391,-0.45897,0.67449,-0.91713,NA
Study1_induced,-0.31737,-0.53704,-0.74471,-0.71251,-0.47246,0.66123,-0.28122,-0.67449,-0.70805,NA
Study1_induced,-0.58097,-0.27823,-0.69201,-0.75123,-0.12253,-0.32079,-0.11414,-0.67449,-0.29259,NA
Study1_induced,-0.25497,-0.14157,-0.71507,-0.34256,0.02608,-1.00986,-0.46163,-0.67449,-0.29834,NA
Study1_induced,0.34085,-0.28415,-0.52659,-0.20592,-0.12443,1.03963,4.37800,1.34898,2.23819,NA
Study1_induced,0.68767,-0.16811,-0.35719,-0.36861,-0.51412,0.23349,-1.94903,3.37245,-2.82180,NA
Study1_induced,0.07941,-0.03726,0.00738,0.30787,0.23090,-0.66378,-1.28769,-0.67449,-1.25133,NA
Study1_induced,-0.79129,-0.76161,-0.79070,-0.69697,-0.57478,-0.83325,0.83597,-1.34898,0.95178,NA
Study1_induced,-0.11530,-0.44666,-0.69551,-0.51173,-0.53521,0.74773,0.61412,-0.67449,0.30450,NA
Study1_induced,-0.83168,-0.57725,-0.88743,-0.59500,-0.56372,-0.32461,0.29625,-0.67449,0.60356,NA
Study1_induced,-0.82570,-0.33784,-0.31966,-0.61259,-0.43835,-0.68363,1.15896,1.34898,0.98378,NA
Study1_induced,-0.71915,-0.26419,-0.28517,-0.36004,-0.13894,-1.00698,-1.07990,0.67449,-0.91635,NA
Study1_induced,0.03286,-0.22564,-0.39749,-0.40298,-0.21162,0.15864,1.43929,0.00000,0.90254,NA
Study1_induced,-0.14180,-0.28487,-0.75884,0.20062,0.01588,-1.12221,-0.34105,-0.67449,-0.15789,NA
Study1_induced,1.27409,-0.07447,-0.46928,-0.29454,-0.21386,1.06008,-0.92776,0.67449,-1.68550,NA
Study1_induced,-0.54384,-0.59826,-0.89583,-0.65978,-0.61779,0.75562,1.70940,1.34898,1.07992,NA
Study1_induced,-0.29627,-0.45316,-0.66985,-0.84063,-0.43264,0.16968,-0.39886,0.00000,-0.47334,NA
Study1_induced,0.80392,-0.22097,-0.50689,-0.56753,-0.57260,1.07345,-0.62240,2.69796,-1.24733,NA
Study1_induced,1.23439,-0.14425,-0.22893,0.28037,0.28651,1.51598,3.10313,2.69796,-0.34336,NA
Study1_induced,-0.50170,-0.39579,-0.51771,0.11542,-0.11096,-0.58119,0.45645,-0.67449,0.56312,NA
Study1_induced,0.65052,-0.08616,-0.45267,-0.46981,-0.28018,-0.31358,-0.74525,-1.34898,-0.87599,NA
Study1_induced,0.00000,-0.17835,-0.27246,-0.69067,-0.76476,0.89242,2.07934,0.00000,1.47880,NA
Study1_induced,1.28277,-0.20713,-0.22008,-0.53976,-0.54837,1.38711,-1.59811,3.37245,-2.75263,NA
Study1_induced,-0.91136,-0.78941,-0.67941,-0.80829,-0.57728,0.97092,2.60147,-1.34898,1.53876,NA
Study1_induced,-0.51847,-0.36920,-0.39209,-0.39530,-0.38589,-0.61765,-0.34813,0.00000,-0.47694,NA
Study1_induced,-0.70547,-0.39178,-0.67012,-0.38460,-0.04567,-1.30819,-0.36234,-0.67449,0.44361,NA
Study1_induced,-0.68276,-0.21574,-0.29578,-0.64645,-0.50371,-0.90281,0.06092,-0.67449,0.47719,NA
Study1_induced,0.00969,-0.20911,-0.30414,-0.75499,-0.31364,0.33279,2.52936,2.69796,1.44220,NA
Study1_induced,0.90045,-0.23126,-0.37296,0.07711,-0.19011,0.97159,-1.56859,6.74491,-2.04941,NA
Study1_induced,0.75424,-0.25388,-0.20074,-0.50463,-0.49683,1.86644,1.06726,3.37245,-0.25823,NA
Study1_induced,0.73696,-0.16898,-0.39173,-0.28275,-0.33480,1.18589,2.26647,-0.67449,1.61357,NA
Study1_induced,-0.81077,-0.52632,-0.44445,-0.86498,-0.91666,-0.15326,-1.96705,37.09699,-2.95476,NA
Study1_induced,0.67449,-0.14395,-0.47630,0.05388,-0.28296,1.07879,1.74190,0.67449,0.90856,NA
Study1_induced,-0.62394,-0.40402,0.04967,-0.75620,-0.87965,1.47331,2.71252,1.34898,0.76333,NA
Study1_induced,1.04539,-0.13643,-0.13043,0.30252,0.10001,0.89357,0.46368,-0.67449,-0.01720,NA
Study1_induced,-0.86054,-0.43634,-0.58104,-0.19293,-0.42606,-1.42888,-0.46608,2.69796,-0.23485,NA
Study1_induced,1.00319,-0.09559,-0.55581,-0.54326,-0.62366,-0.12349,-1.06389,-0.67449,-1.11213,NA
Study1_induced,-0.46858,-0.25951,-0.65326,0.46890,0.19206,-0.84516,-0.63846,0.00000,-0.27311,NA
Study1_induced,-1.82134,-0.55492,-0.00337,-0.97601,-0.97902,1.93653,2.41968,37.09699,-2.22500,NA
Study1_induced,-0.89578,-0.72507,-0.84049,-0.91838,-0.53559,-0.42357,0.58627,0.00000,0.67144,NA
Study1_induced,0.70365,-0.39148,-0.61710,-0.85789,-0.88941,0.50924,-2.08146,50.58681,-3.50342,NA
Study1_induced,-0.28687,-0.10205,-0.55694,-0.65849,-0.55566,-0.51372,-0.09381,0.67449,0.00534,NA
Study1_induced,0.37110,-0.21080,0.00753,-0.24486,-0.26564,0.68435,-0.90304,0.67449,-1.39594,NA
Study1_induced,0.29722,-0.11538,0.33329,0.21357,0.25680,-0.28652,1.00625,0.67449,0.71432,NA
Study1_induced,0.01521,-0.38064,-0.67219,0.03740,-0.01341,0.60520,1.93134,-1.34898,1.38013,NA
Study1_induced,1.21309,-0.08467,-0.28270,0.22267,0.36264,0.42879,-1.00305,-0.67449,-1.22509,NA
Study1_induced,-0.31596,-0.32882,-0.25714,-0.69025,-0.59971,-0.43267,0.27499,-1.34898,0.35367,NA
Study1_induced,-0.52362,-0.64812,-0.85781,-0.71438,-0.58730,-0.79192,0.27243,-1.34898,0.68813,NA
Study1_induced,-0.10852,-0.31556,-0.20984,-0.34713,-0.29981,-0.14944,2.96404,5.39593,1.00293,NA
Study1_induced,0.65896,-0.18675,-0.04071,0.07002,-0.01629,1.24678,1.23909,1.34898,0.62943,NA
Study1_induced,-0.83766,-0.64101,-0.80893,-0.74394,-0.64306,-1.18506,0.10752,-1.34898,0.59153,NA
Study1_induced,0.14462,-0.25036,0.41475,-0.25805,-0.55473,-0.65004,2.14335,2.02347,1.45936,NA
Study1_induced,0.17846,-0.07803,-0.06636,-0.07974,-0.14883,-0.09860,-1.13899,3.37245,-1.43261,NA
Study1_induced,-1.13302,-0.32689,0.00353,-0.76112,-0.82814,-0.25613,-0.63972,5.39593,-0.69169,NA
Study1_induced,0.53551,-0.07903,-0.39818,-0.52365,-0.28228,0.30871,-0.56246,0.00000,-0.82651,NA
Study1_induced,-0.16206,-0.18047,-0.22597,-0.51752,-0.38212,-0.19303,-1.70698,30.35208,-2.18526,NA
Study1_induced,0.28147,-0.19891,-0.06091,0.26237,0.08510,0.27099,0.13486,0.00000,-0.09744,NA
Study1_induced,-1.33951,-0.36490,-0.41555,-0.90928,-0.93302,-0.23086,0.21973,37.09699,-2.61769,NA
Study1_induced,-0.43113,-0.65427,-0.79090,-0.87996,-0.60762,1.48007,3.02026,0.00000,1.84625,NA
Study1_induced,0.86794,-0.12340,-0.04442,0.47789,0.25245,0.36971,-0.31675,0.00000,-0.34051,NA
Study1_induced,-0.87849,-0.72144,-0.88756,-0.73695,-0.42609,-0.89441,-0.00271,0.00000,0.39572,NA
Study1_induced,-0.17933,-0.47576,-0.78603,-0.12010,-0.02071,-0.91517,0.26560,-1.34898,0.37374,NA
Study1_induced,0.31897,-0.18634,-0.61045,-0.44873,-0.45315,0.40231,0.00000,4.72144,0.01624,NA
Study1_induced,1.13557,-0.05216,-0.26647,-0.22083,-0.18624,0.87045,0.67136,-1.34898,0.41328,NA
Study1_induced,0.29405,-0.25351,-0.04396,-0.00365,-0.39674,0.86505,1.08509,-0.67449,0.53307,NA
Study1_induced,0.23456,-0.20729,0.13534,-0.74707,-0.67723,0.23678,-0.46261,6.07042,-0.58444,NA
Study1_induced,-0.12901,-0.19179,-0.27595,-0.12249,-0.09792,-1.36314,-0.91584,-0.67449,-0.29286,NA
Study1_induced,-1.02557,-0.54770,-0.49252,-0.21142,-0.34436,-1.00757,-0.50113,-1.34898,0.05072,NA
Study1_induced,-0.34393,-0.32974,-0.63279,-0.09505,-0.12155,-0.73263,-0.08570,0.00000,0.13971,NA
Study1_induced,-0.94640,-0.67843,-0.72290,-0.88749,-0.44907,-1.31386,-0.41438,-1.34898,0.26287,NA
Study1_induced,-0.89470,-0.59150,-0.61954,-0.69901,-0.63013,-0.73804,0.07814,0.00000,0.36476,NA
Study1_induced,0.46893,-0.23982,-0.35645,-0.25054,-0.22163,0.67449,1.24224,-1.34898,1.04995,NA
Study1_induced,0.10867,-0.17180,0.15762,-0.51130,-0.64490,-0.15634,-0.39569,6.07042,-0.46664,NA
Study1_induced,0.47733,-0.12644,-0.62306,0.03125,0.09445,-0.01974,1.10554,-0.67449,0.67449,NA
Study1_induced,0.40883,-0.13384,-0.09783,0.41917,0.13839,-0.35358,1.21916,-0.67449,0.98151,NA
Study1_induced,-0.36744,-0.18968,-0.40632,-0.50428,-0.50384,0.16277,-0.45847,2.02347,-0.42919,NA
Study1_induced,1.51697,-0.12923,-0.17622,-0.71993,-0.69748,1.58106,-1.23163,2.69796,-2.01471,NA
Kay_S2,-1.01392,-0.31134,-0.35396,-0.41053,-0.49707,0.07903,-0.66556,-0.67449,-0.57609,NA
Kay_S2,1.60463,-0.31646,-0.60977,-0.69189,-0.72136,1.05557,-1.02246,0.00000,-1.94582,NA
Kay_S2,2.15228,-0.38496,-0.43424,-0.51609,-0.42737,0.57626,-1.38798,7.41940,-2.10079,NA
Kay_S2,1.41627,-0.16235,-0.19426,-0.24873,-0.38515,0.54945,-0.48085,0.00000,-0.54391,NA
Kay_S2,-0.69634,-0.53621,-0.82920,-0.51590,-0.62541,-0.50028,0.76767,-0.67449,1.09363,NA
Kay_S2,0.27151,-0.41442,-0.33678,-0.60399,-0.43916,0.03132,-0.42061,3.37245,-0.27415,NA
Kay_S2,0.41943,-0.27106,-0.10599,-0.12567,-0.39666,-0.58836,-0.39045,-0.33725,0.00000,NA
Kay_S2,-0.61314,-0.35510,-0.57061,-0.42767,-0.29439,-0.08091,0.54044,-1.01174,0.63808,NA
Kay_S2,0.06361,-0.35522,-0.47517,-0.54577,-0.27307,-0.29288,-0.54180,-0.33725,-0.17878,NA
Kay_S2,0.43153,-0.48372,-0.80146,-0.50617,-0.54313,3.04021,1.31829,-0.67449,0.02559,NA
Kay_S2,-0.34574,-0.27330,-0.51332,-0.56919,-0.57235,-0.63823,-0.11936,0.00000,0.36866,NA
Kay_S2,-1.17342,-0.39716,-0.54746,-0.46033,-0.42537,-0.81979,-0.09856,0.67449,0.48045,NA
Kay_S2,0.57494,-0.37511,-0.27564,-0.41566,-0.54525,0.74923,-0.85041,-0.33725,-1.34899,NA
Kay_S2,-0.00324,-0.09344,-0.22635,-0.30886,-0.33929,-0.55395,-1.26774,-0.33725,-1.23511,NA
Kay_S2,-0.02909,-0.39515,-0.62733,-0.58545,-0.67035,1.55529,1.25329,-0.67449,0.63808,NA
Kay_S2,-0.22806,-0.24737,-0.20324,-0.42378,-0.30054,-0.52655,-0.60705,0.00000,-0.29059,NA
Kay_S2,-0.36759,-0.45826,-0.49231,-0.67755,-0.48451,-0.84261,0.23443,-0.33725,0.79171,NA
Kay_S2,-0.08122,-0.29497,-0.39087,-0.30881,-0.43465,-1.06404,-0.19703,-0.33725,0.22362,NA
Kay_S2,-0.69877,-0.41880,-0.60148,-0.67599,-0.57943,-0.56147,0.43577,-0.67449,0.95030,NA
Kay_S2,-1.81881,-0.56904,-0.75998,-0.61650,-0.59220,0.22382,0.74999,0.33725,0.69471,NA
Kay_S2,0.05526,-0.32190,-0.51733,-0.40425,-0.48913,-0.56532,0.64620,-0.33725,1.11456,NA
Kay_S2,-0.06863,-0.65312,-0.77848,-0.56194,-0.62200,3.99349,2.10946,-0.33725,0.26352,NA
Kay_S2,0.80890,-0.43469,-0.62050,-0.14042,-0.18568,1.04672,-0.81511,-0.33725,-1.06700,NA
Kay_S2,0.80043,-0.42737,-0.59859,-0.45216,-0.61428,2.44889,2.34531,0.33725,0.72923,NA
Kay_S2,-0.79136,-0.40058,-0.46419,-0.44722,-0.44007,0.28935,0.82367,0.00000,0.90549,NA
Kay_S2,0.54283,-0.19882,-0.29000,-0.11589,-0.34225,-0.55889,-0.67440,3.03521,-0.23699,NA
Kay_S2,0.97009,-0.21576,-0.18546,-0.38737,-0.48719,0.36927,1.25604,0.00000,1.06797,NA
Kay_S2,-1.73067,-0.54049,-0.58114,-0.46887,-0.52796,-0.46074,0.89101,-0.33725,1.14671,NA
Kay_S2,1.13205,-0.18484,-0.19232,-0.51877,-0.30104,0.01110,-0.96476,0.00000,-1.06021,NA
Kay_S2,-0.33243,-0.30672,-0.69658,-0.53445,-0.34861,-1.18469,-0.41630,0.67449,0.25117,NA
Kay_S2,1.05486,-0.21025,-0.07411,-0.24762,-0.23916,0.28505,0.90779,-0.67449,0.65244,NA
Kay_S2,-0.21705,-0.47824,-0.56595,-0.70539,-0.55948,-0.22277,-0.52730,0.00000,-0.46688,NA
Kay_S2,-1.57334,-0.60165,-0.79048,-0.61924,-0.53397,0.66423,1.31485,-0.33725,0.72402,NA
Kay_S2,-0.18852,-0.29101,-0.59691,-0.56422,-0.46781,-1.04890,0.08074,-0.33725,0.67510,NA
Kay_S2,-1.22630,-0.42698,-0.53794,-0.40333,-0.47259,-1.32003,-1.00010,0.67449,-0.40327,NA
Kay_S2,0.77970,-0.26262,-0.50805,-0.22248,-0.35700,0.08439,0.62259,-0.33725,0.80391,NA
Kay_S2,0.41960,-0.21945,-0.57018,-0.67716,-0.58134,0.46960,-0.83074,0.00000,-1.60854,NA
Kay_S2,0.06342,-0.36818,-0.51606,-0.38848,-0.54161,1.43968,0.40768,-0.67449,-0.21477,NA
Kay_S2,0.15400,-0.20397,-0.22488,-0.52768,-0.44118,-0.59762,-1.02992,1.34898,-0.71768,NA
Kay_S2,-0.65427,-0.42592,-0.81074,-0.74892,-0.56277,0.41738,0.40867,0.00000,0.45202,NA
Kay_S2,-0.38842,-0.61392,-0.71277,-0.60942,-0.61134,1.58156,0.03975,0.67449,-0.54811,NA
Kay_S2,0.09050,-0.29433,-0.57439,-0.38413,-0.49478,-0.71971,-0.39749,-0.67449,0.18728,NA
Kay_S2,0.24670,-0.36126,-0.52794,-0.55057,-0.55465,1.22913,-0.54055,-0.33725,-1.05951,NA
Kay_S2,0.80750,-0.47826,-0.17397,-0.68271,-0.57594,0.00000,-1.15147,1.68623,-1.14869,NA
Kay_S2,-1.05027,-0.48206,-0.42437,-0.54256,-0.46130,-0.87508,-0.57211,0.33725,0.03057,NA
Kay_S2,1.28397,-0.13351,0.03200,-0.48941,-0.51294,1.40872,2.03668,0.33725,0.79111,NA
Kay_S2,-1.35399,-0.53032,-0.70413,-0.06805,-0.41996,-0.21265,1.43140,0.33725,1.23107,NA
Kay_S2,0.32050,-0.17157,-0.26281,-0.39147,-0.40682,-0.42130,-0.67710,1.68623,-0.74904,NA
Kay_S2,0.14779,-0.19670,-0.22739,-0.58708,-0.63660,-0.36381,-0.17127,-1.01174,0.08012,NA
Kay_S2,-0.80182,-0.47402,-0.56354,-0.75614,-0.47897,0.11044,2.92950,-0.67449,1.70800,NA
Kay_S2,0.14195,-0.30414,-0.46209,-0.58888,-0.59038,-0.32149,-0.01830,0.00000,0.23353,NA
Kay_S2,-0.70832,-0.48054,-0.36922,-0.38385,-0.60810,-0.21291,1.47884,0.67449,1.41003,NA
Kay_S2,-1.39395,-0.48410,-0.59808,-0.38543,-0.44882,-1.26735,0.10661,-0.67449,0.76149,NA
Kay_S2,0.71728,-0.28923,-0.41756,-0.44135,-0.54435,0.09101,-1.07273,-0.67449,-1.31239,NA
Kay_S2,-0.35133,-0.28809,-0.52663,-0.66015,-0.66163,-1.10992,-0.97043,1.68623,-0.55196,NA
Kay_S2,-0.32710,-0.32212,-0.54944,-0.48254,-0.42652,0.18557,1.22247,-0.67449,1.03675,NA
Kay_S2,-0.43435,-0.32070,-0.46404,-0.43510,-0.48718,-0.54350,-1.04842,-0.67449,-0.76226,NA
Kay_S2,-0.43255,-0.19982,-0.23620,-0.47355,-0.42813,-1.35303,-1.56604,0.00000,-1.20064,NA
Kay_S2,1.82389,-0.09865,-0.25328,-0.67424,-0.56032,1.48232,-0.03455,-0.33725,-1.15571,NA
Kay_S2,2.88824,-0.74876,-0.87172,-0.86878,-0.73763,4.04039,-1.37251,31.02657,-4.22635,NA
Kay_S2,0.02112,-0.34891,-0.48394,-0.28796,-0.25634,-0.13334,-0.29166,0.33725,-0.42612,NA
Kay_S2,-0.41120,-0.28187,-0.62652,-0.65947,-0.52600,-0.35517,-0.61002,-1.01174,-0.17556,NA
Kay_S2,-0.18266,-0.29441,-0.30346,-0.68617,-0.63617,0.19901,0.49516,-1.01174,0.49181,NA
Kay_S2,1.32860,-0.44012,-0.32425,-0.78479,-0.60146,0.50527,0.40391,-0.67449,0.07867,NA
Kay_S2,-1.05590,-0.43031,-0.61303,-0.45942,-0.54533,-0.95140,0.02459,0.33725,0.37515,NA
Kay_S2,3.00784,-0.48866,-0.71625,-0.66841,-0.67732,4.33342,-0.46305,16.18778,-2.38838,NA
Kay_S2,0.04825,-0.36870,-0.33096,-0.74950,-0.68896,-0.05581,0.15088,-1.01174,0.02808,NA
Kay_S2,-0.25039,-0.41708,-0.64204,-0.27482,-0.29387,-0.38059,0.94221,-1.01174,1.27613,NA
Kay_S2,-1.47975,-0.44021,-0.63336,-0.33462,-0.55336,-0.04794,-0.32621,-0.33725,-0.19619,NA
Kay_S2,1.55024,-0.21157,-0.16876,-0.41644,-0.57231,0.71985,0.41303,2.69796,-0.46841,NA
Kay_S2,-0.44132,-0.24073,-0.05456,-0.45852,-0.52950,-0.42521,-1.10857,2.02347,-1.27462,NA
